Match Name,Matchweek,Leverkusen Goals,Opponent Goals
LeverkusenVSLeipzig_Home,1,3,2
LeverkusenVSBorussiaMönchengladbach_Away,2,3,0
LeverkusenVSDarmstadt_Home,3,5,1
LeverkusenVSBayernMunich_Away,4,2,2
LeverkusenVSHeidenheim_Home,5,4,1
LeverkusenVSMainz_Away,6,3,0
LeverkusenVSKoln_Home,7,3,0
LeverkusenVSWolfsburg_Away,8,2,1
LeverkusenVSFreiburg_Home,9,2,1
LeverkusenVSHoffenheim_Away,10,3,2
LeverkusenVSUnionBerlin_Home,11,4,0
LeverkusenVSWerderBremen_Away,12,3,0
LeverkusenVSBorussiaDortmund_Home,13,1,1
LeverkusenVSStuttgart_Away,14,1,1
LeverkusenVSEintrachtFrankfurt_Home,15,3,0
LeverkusenVSBochum_Home,16,4,0
LeverkusenVSAugsburg_Away,17,1,0
LeverkusenVSLeipzig_Away,18,3,2
LeverkusenVSBorussiaMönchengladbach_Home,19,0,0
LeverkusenVSDarmstadt_Away,20,2,0
LeverkusenVSBayernMunich_Home,21,3,0
LeverkusenVSHeidenheim_Away,22,2,1
LeverkusenVSMainz_Home,23,2,1
LeverkusenVSKoln_Away,24,2,0
LeverkusenVSWolfsburg_Home,25,2,0
LeverkusenVSFreiburg_Away,26,3,2
LeverkusenVSHoffenheim_Home,27,2,1
LeverkusenVSUnionBerlin_Away,28,1,0
LeverkusenVSWerderBremen_Home,29,5,0
LeverkusenVSBorussiaDortmund_Away,30,1,1
LeverkusenVSStuttgart_Home,31,2,2
LeverkusenVSEintrachtFrankfurt_Away,32,5,1
LeverkusenVSBochum_Away,33,5,0
LeverkusenVSAugsburg_Home,34,2,1
